Date (yyyy-mm-dd),Max_temperature (°C),Min_temperature (°C),Rain (mm),Wind (km/h),Description,City
2024-01-07,26,12,0.3,6,Lluvia moderada a intervalos,Medellín
2023-01-07,18,9,3.6,4,Ligeras precipitaciones,Medellín
2022-01-07,17,8,6.6,4,Ligeras precipitaciones,Medellín
2021-01-07,22,14,7.7,4,Lluvias fuertes o moderadas,Medellín
2020-01-07,22,10,1.1,4,Lluvia moderada a intervalos,Medellín
2019-01-07,23,11,4.2,4,Niebla moderada,Medellín
2024-01-08,25,9,0.6,6,Lluvia moderada a intervalos,Medellín
2023-01-08,19,9,7.3,2,Ligeras precipitaciones,Medellín
2022-01-08,17,9,3.4,3,Ligeras precipitaciones,Medellín
2021-01-08,22,15,10.3,3,Lluvias fuertes o moderadas,Medellín
2020-01-08,22,11,0.5,7,Neblina,Medellín
2019-01-08,20,11,4.5,3,Llovizna,Medellín
2024-01-09,28,10,0.6,6,Lluvia moderada a intervalos,Medellín
2023-01-09,16,9,9.4,1,Ligeras precipitaciones,Medellín
2022-01-09,20,8,3.3,4,Ligeras precipitaciones,Medellín
2021-01-09,20,15,46.6,3,Lluvias fuertes o moderadas,Medellín
2020-01-09,23,10,0.0,7,Parcialmente nublado,Medellín
2019-01-09,18,10,8.7,4,Lluvias fuertes o moderadas,Medellín
2024-01-10,25,14,0.4,6,Lluvia moderada a intervalos,Medellín
2023-01-10,17,9,4.6,3,Ligeras precipitaciones,Medellín
2022-01-10,18,10,2.5,4,Ligeras precipitaciones,Medellín
2021-01-10,20,11,34.8,4,Lluvias fuertes o moderadas,Medellín
2020-01-10,27,12,0.0,6,Neblina,Medellín
2019-01-10,20,10,8.1,4,Lluvias fuertes o moderadas,Medellín
2024-01-11,25,10,4.6,5,Niebla moderada,Medellín
2023-01-11,17,8,1.2,3,Niebla moderada,Medellín
2022-01-11,17,10,1.6,2,Ligeras precipitaciones,Medellín
2021-01-11,22,15,25.2,3,Lluvias fuertes o moderadas,Medellín
2020-01-11,22,13,0.0,6,Parcialmente nublado,Medellín
2019-01-11,20,10,2.2,3,Lluvia moderada a intervalos,Medellín
2024-01-12,24,9,6.0,4,Ligeras precipitaciones,Medellín
2023-01-12,18,8,2.0,5,Ligeras precipitaciones,Medellín
2022-01-12,21,9,2.5,2,Ligeras precipitaciones,Medellín
2021-01-12,19,10,13.2,3,Lluvias fuertes o moderadas,Medellín
2020-01-12,23,11,0.4,7,Lluvia moderada a intervalos,Medellín
2019-01-12,19,11,3.5,3,Llovizna,Medellín
2024-01-13,22,8,5.3,5,Niebla moderada,Medellín
2023-01-13,19,8,4.1,2,Niebla moderada,Medellín
2022-01-13,21,12,2.9,2,Ligeras precipitaciones,Medellín
2021-01-13,21,10,7.9,4,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2020-01-13,22,11,1.5,6,Lluvia moderada a intervalos,Medellín
2019-01-13,16,11,13.1,2,Lluvias fuertes o moderadas,Medellín
2024-01-14,21,8,0.8,6,Niebla moderada,Medellín
2023-01-14,18,8,6.0,4,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2022-01-14,20,9,3.6,4,Ligeras precipitaciones,Medellín
2021-01-14,20,11,12.2,3,Lluvias fuertes o moderadas,Medellín
2020-01-14,20,11,13.7,4,Lluvias fuertes o moderadas,Medellín
2019-01-14,18,11,12.2,4,Lluvias fuertes o moderadas,Medellín
2024-01-15,26,10,0.1,7,Lluvia moderada a intervalos,Medellín
2023-01-15,21,9,3.7,5,Ligeras precipitaciones,Medellín
2022-01-15,18,8,0.7,5,Lluvia moderada a intervalos,Medellín
2021-01-15,19,10,7.4,4,Ligeras precipitaciones,Medellín
2020-01-15,21,10,9.1,4,Lluvias fuertes o moderadas,Medellín
2019-01-15,20,12,19.1,5,Lluvias fuertes o moderadas,Medellín
2024-01-16,23,9,0.0,8,Parcialmente nublado,Medellín
2022-01-16,21,10,0.2,5,Lluvia moderada a intervalos,Medellín
2021-01-16,21,10,3.8,3,Ligeras precipitaciones,Medellín
2020-01-16,22,10,0.5,7,Lluvia moderada a intervalos,Medellín
2019-01-16,20,12,25.0,6,Lluvias torrenciales,Medellín
2024-01-17,27,9,0.1,9,Lluvia moderada a intervalos,Medellín
2023-01-17,22,14,2.7,5,Ligeras precipitaciones,Medellín
2022-01-17,20,9,1.0,5,Lluvia moderada a intervalos,Medellín
2021-01-17,22,9,2.0,4,Lluvia moderada a intervalos,Medellín
2020-01-17,23,12,0.3,9,Parcialmente nublado,Medellín
2019-01-17,19,11,8.5,6,Lluvias fuertes o moderadas,Medellín
2024-01-18,27,10,0.2,8,Lluvia moderada a intervalos,Medellín
2023-01-18,20,13,11.7,2,Lluvias fuertes o moderadas,Medellín
2022-01-18,20,9,0.6,5,Lluvia moderada a intervalos,Medellín
2021-01-18,20,10,5.3,5,Lluvia moderada a intervalos,Medellín
2020-01-18,26,12,0.1,8,Neblina,Medellín
2019-01-18,24,11,0.3,6,Neblina,Medellín
2024-01-19,29,9,0.4,8,Lluvia moderada a intervalos,Medellín
2023-01-19,25,11,1.7,4,Ligeras precipitaciones,Medellín
2022-01-19,19,9,0.3,5,Niebla moderada,Medellín
2021-01-19,22,10,1.4,6,Lluvia moderada a intervalos,Medellín
2020-01-19,27,14,0.7,5,Lluvia moderada a intervalos,Medellín
2019-01-19,24,11,0.3,5,Llovizna a intervalos,Medellín
2024-01-20,29,14,0.8,7,Lluvia moderada a intervalos,Medellín
2023-01-20,22,10,2.4,5,Lluvia moderada a intervalos,Medellín
2022-01-20,21,8,0.0,5,Neblina,Medellín
2021-01-20,20,11,5.0,5,Lluvia moderada a intervalos,Medellín
2020-01-20,23,16,19.5,2,Lluvias torrenciales,Medellín
2019-01-20,23,12,4.4,6,Ligeras precipitaciones,Medellín
2024-01-21,25,11,4.6,6,Lluvia moderada a intervalos,Medellín
2023-01-21,20,9,3.0,4,Ligeras precipitaciones,Medellín
2022-01-21,24,9,1.5,5,Lluvia moderada a intervalos,Medellín
2021-01-21,20,11,9.6,4,Lluvias fuertes o moderadas,Medellín
2020-01-21,18,12,17.2,2,Lluvias fuertes o moderadas,Medellín
2019-01-21,19,12,8.5,5,Ligeras precipitaciones,Medellín
2024-01-22,27,10,0.2,7,Lluvia moderada a intervalos,Medellín
2023-01-22,18,8,3.3,4,Niebla moderada,Medellín
2022-01-22,23,11,2.2,5,Niebla moderada,Medellín
2021-01-22,25,10,5.0,4,Lluvia moderada a intervalos,Medellín
2020-01-22,17,11,8.4,4,Ligeras precipitaciones,Medellín
2019-01-22,25,11,0.3,7,Neblina,Medellín
2024-01-23,27,10,0.1,8,Lluvia moderada a intervalos,Medellín
2023-01-23,21,8,1.9,5,Niebla moderada,Medellín
2022-01-23,26,10,1.2,5,Niebla moderada,Medellín
2021-01-23,20,11,15.1,4,Lluvias fuertes o moderadas,Medellín
2020-01-23,20,9,11.5,2,Lluvias fuertes o moderadas,Medellín
2019-01-23,26,11,0.1,6,Parcialmente nublado,Medellín
2024-01-24,26,9,0.0,7,Lluvia moderada a intervalos,Medellín
2023-01-24,24,9,2.2,5,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2022-01-24,22,11,1.8,5,Ligeras precipitaciones,Medellín
2021-01-24,21,11,9.9,4,Lluvias fuertes o moderadas,Medellín
2020-01-24,18,11,36.7,3,Lluvias fuertes o moderadas,Medellín
2019-01-24,24,11,0.2,6,Parcialmente nublado,Medellín
2024-01-25,24,9,1.0,7,Lluvia moderada a intervalos,Medellín
2023-01-25,19,9,1.9,5,Lluvia moderada a intervalos,Medellín
2022-01-25,20,10,4.9,3,Ligeras precipitaciones,Medellín
2021-01-25,21,14,11.2,3,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2020-01-25,21,10,5.8,4,Lluvia moderada a intervalos,Medellín
2019-01-25,21,11,7.5,6,Lluvias fuertes o moderadas,Medellín
2024-01-26,25,10,2.3,6,Lluvia moderada a intervalos,Medellín
2023-01-26,21,8,0.8,5,Niebla moderada,Medellín
2022-01-26,24,10,1.7,4,Niebla moderada,Medellín
2021-01-26,21,11,11.5,5,Lluvias fuertes o moderadas,Medellín
2020-01-26,21,11,12.1,2,Lluvias fuertes o moderadas,Medellín
2019-01-26,25,12,0.6,6,Llovizna,Medellín
2024-01-27,26,10,3.1,6,Niebla moderada,Medellín
2023-01-27,28,7,0.2,6,Lluvia moderada a intervalos,Medellín
2022-01-27,23,9,1.3,4,Ligeras precipitaciones,Medellín
2021-01-27,22,10,2.0,4,Lluvia moderada a intervalos,Medellín
2020-01-27,20,11,22.6,2,Lluvias fuertes o moderadas,Medellín
2019-01-27,21,12,6.8,4,Ligeras precipitaciones,Medellín
2024-01-28,27,9,1.7,7,Despejado,Medellín
2023-01-28,25,10,0.2,6,Lluvia moderada a intervalos,Medellín
2022-01-28,20,8,1.0,5,Niebla moderada,Medellín
2021-01-28,20,10,13.9,4,Lluvias fuertes o moderadas,Medellín
2020-01-28,20,10,17.0,4,Lluvias fuertes o moderadas,Medellín
2019-01-28,17,12,13.9,5,Lluvias fuertes o moderadas,Medellín
2024-01-29,28,12,2.3,7,Lluvia moderada a intervalos,Medellín
2023-01-29,29,10,0.7,5,Ligeras precipitaciones,Medellín
2022-01-29,20,9,1.1,5,Lluvia moderada a intervalos,Medellín
2021-01-29,21,10,1.2,5,Lluvia moderada a intervalos,Medellín
2020-01-29,20,10,17.1,2,Lluvias fuertes o moderadas,Medellín
2019-01-29,23,11,7.3,4,Niebla moderada,Medellín
2024-01-30,21,11,7.3,5,Ligeras precipitaciones,Medellín
2023-01-30,22,9,1.3,6,Lluvia moderada a intervalos,Medellín
2022-01-30,19,7,0.0,6,Parcialmente nublado,Medellín
2021-01-30,23,10,4.6,5,Lluvia moderada a intervalos,Medellín
2020-01-30,22,10,9.1,5,Lluvias fuertes o moderadas,Medellín
2019-01-30,21,14,3.7,4,Ligeras precipitaciones,Medellín
2024-01-31,26,11,5.5,5,Lluvia moderada a intervalos,Medellín
2023-01-31,21,7,1.3,5,Lluvia moderada a intervalos,Medellín
2022-01-31,20,7,0.4,6,Ligeras precipitaciones,Medellín
2021-01-31,24,15,0.2,6,Lluvia moderada a intervalos,Medellín
2020-01-31,22,11,8.4,5,Lluvia moderada a intervalos,Medellín
2019-01-31,19,14,3.0,3,Llovizna,Medellín
2024-02-01,25,11,4.4,6,Ligeras precipitaciones,Medellín
2023-02-01,19,9,5.0,5,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2022-02-01,22,10,0.1,6,Lluvia moderada a intervalos,Medellín
2021-02-01,23,12,6.3,4,Lluvia moderada a intervalos,Medellín
2020-02-01,21,13,16.8,4,Lluvias fuertes o moderadas,Medellín
2019-02-01,25,13,3.9,4,Lluvia moderada a intervalos,Medellín
2024-02-02,25,10,13.2,4,Ligeras precipitaciones,Medellín
2022-02-02,19,8,1.8,5,Lluvia moderada a intervalos,Medellín
2021-02-02,22,12,9.0,4,Lluvia moderada a intervalos,Medellín
2020-02-02,21,11,18.8,4,Lluvias fuertes o moderadas,Medellín
2019-02-02,25,13,11.1,5,Lluvias fuertes o moderadas,Medellín
2024-02-03,19,11,32.0,6,Lluvias fuertes o moderadas,Medellín
2023-02-03,23,8,4.6,5,Ligeras precipitaciones,Medellín
2022-02-03,19,7,2.4,4,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2021-02-03,20,11,9.3,4,Lluvias fuertes o moderadas,Medellín
2020-02-03,22,10,5.0,4,Lluvia moderada a intervalos,Medellín
2019-02-03,25,12,2.3,6,Ligeras precipitaciones,Medellín
2024-02-04,23,11,16.1,2,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2023-02-04,16,7,2.6,5,Ligeras precipitaciones,Medellín
2022-02-04,19,8,2.6,3,Ligeras precipitaciones,Medellín
2021-02-04,20,11,10.4,4,Lluvias fuertes o moderadas,Medellín
2020-02-04,24,11,2.1,5,Lluvia moderada a intervalos,Medellín
2019-02-04,20,12,16.2,4,Lluvias torrenciales,Medellín
2024-02-05,21,10,15.3,3,Ligeras precipitaciones,Medellín
2023-02-05,28,8,1.5,6,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2022-02-05,21,11,5.0,2,Ligeras precipitaciones,Medellín
2021-02-05,21,11,21.1,4,Lluvias fuertes o moderadas,Medellín
2020-02-05,27,13,1.3,5,Lluvia moderada a intervalos,Medellín
2019-02-05,21,11,21.8,6,Lluvias torrenciales,Medellín
2024-02-06,23,10,11.8,4,Ligeras precipitaciones,Medellín
2023-02-06,23,8,1.7,5,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2022-02-06,20,10,9.2,5,Ligeras precipitaciones,Medellín
2021-02-06,21,11,9.3,3,Lluvia moderada a intervalos,Medellín
2020-02-06,24,12,1.4,5,Lluvia moderada a intervalos,Medellín
2019-02-06,19,12,27.8,5,Lluvias torrenciales,Medellín
2024-02-07,21,10,5.9,5,Ligeras precipitaciones,Medellín
2023-02-07,25,13,0.7,7,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2022-02-07,23,9,2.9,4,Ligeras precipitaciones,Medellín
2021-02-07,24,14,5.6,4,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2020-02-07,23,12,3.3,5,Lluvia moderada a intervalos,Medellín
2019-02-07,21,12,22.2,5,Lluvias torrenciales,Medellín
2024-02-08,23,11,1.6,7,Niebla moderada,Medellín
2023-02-08,23,12,2.6,4,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2022-02-08,24,10,3.6,4,Ligeras precipitaciones,Medellín
2021-02-08,23,14,26.3,2,Lluvias fuertes o moderadas,Medellín
2020-02-08,23,10,2.9,5,Lluvia moderada a intervalos,Medellín
2019-02-08,19,13,27.6,5,Lluvias torrenciales,Medellín
2024-02-09,26,14,1.1,7,Lluvia moderada a intervalos,Medellín
2023-02-09,22,13,2.6,4,Ligeras precipitaciones,Medellín
2022-02-09,19,10,5.1,4,Ligeras precipitaciones,Medellín
2021-02-09,21,11,22.4,2,Lluvias fuertes o moderadas,Medellín
2020-02-09,22,10,3.1,5,Lluvia moderada a intervalos,Medellín
2019-02-09,18,12,29.1,4,Lluvias fuertes o moderadas,Medellín
2024-02-10,28,16,1.3,7,Lluvia moderada a intervalos,Medellín
2023-02-10,25,14,1.4,4,Lluvia moderada a intervalos,Medellín
2022-02-10,24,9,2.7,5,Ligeras precipitaciones,Medellín
2021-02-10,21,12,23.3,2,Lluvias fuertes o moderadas,Medellín
2020-02-10,21,11,5.6,5,Lluvia moderada a intervalos,Medellín
2019-02-10,18,13,16.4,4,Lluvias fuertes o moderadas,Medellín
2024-02-11,27,12,2.8,6,Lluvia moderada a intervalos,Medellín
2023-02-11,21,10,3.2,4,Llovizna,Medellín
2022-02-11,25,10,0.7,5,Lluvia moderada a intervalos,Medellín
2021-02-11,22,10,10.6,4,Ligeras precipitaciones,Medellín
2020-02-11,22,11,0.8,5,Lluvia moderada a intervalos,Medellín
2019-02-11,20,13,25.2,6,Lluvias torrenciales,Medellín
2024-02-12,26,11,1.4,6,Lluvia moderada a intervalos,Medellín
2023-02-12,25,10,2.0,5,Lluvia moderada a intervalos,Medellín
2022-02-12,29,10,0.6,6,Lluvia moderada a intervalos,Medellín
2021-02-12,21,10,18.6,3,Lluvias fuertes o moderadas,Medellín
2020-02-12,23,11,0.8,5,Lluvia moderada a intervalos,Medellín
2019-02-12,20,13,41.8,6,Lluvias torrenciales,Medellín
2024-02-13,26,11,3.3,6,Lluvia moderada a intervalos,Medellín
2023-02-13,22,10,3.6,5,Ligeras precipitaciones,Medellín
2022-02-13,24,11,4.1,4,Ligeras precipitaciones,Medellín
2021-02-13,20,12,19.2,3,Lluvias fuertes o moderadas,Medellín
2020-02-13,22,13,3.3,5,Lluvia moderada a intervalos,Medellín
2019-02-13,21,12,28.0,5,Lluvias torrenciales,Medellín
2024-02-14,24,10,1.1,6,Lluvia moderada a intervalos,Medellín
2023-02-14,24,13,4.9,3,Ligeras precipitaciones,Medellín
2022-02-14,22,13,5.2,4,Ligeras precipitaciones,Medellín
2021-02-14,24,11,8.7,3,Lluvias fuertes o moderadas,Medellín
2020-02-14,21,12,11.1,5,Lluvias fuertes o moderadas,Medellín
2019-02-14,19,12,33.5,5,Lluvias torrenciales,Medellín
2024-02-15,27,9,0.0,8,Parcialmente nublado,Medellín
2023-02-15,22,13,3.9,3,Ligeras precipitaciones,Medellín
2022-02-15,24,11,1.2,5,Niebla moderada,Medellín
2021-02-15,25,15,9.1,3,Lluvias fuertes o moderadas,Medellín
2020-02-15,21,11,12.8,5,Lluvias fuertes o moderadas,Medellín
2019-02-15,24,12,7.3,6,Lluvias fuertes o moderadas,Medellín
2024-02-16,28,13,1.6,6,Lluvia moderada a intervalos,Medellín
2023-02-16,22,10,5.3,2,Ligeras precipitaciones,Medellín
2022-02-16,20,10,1.5,5,Lluvia moderada a intervalos,Medellín
2021-02-16,20,10,13.3,3,Lluvias fuertes o moderadas,Medellín
2020-02-16,22,11,11.9,5,Lluvias fuertes o moderadas,Medellín
2019-02-16,21,13,12.7,5,Lluvias fuertes o moderadas,Medellín
2024-02-17,24,11,9.0,4,Ligeras precipitaciones,Medellín
2023-02-17,23,10,4.3,4,Ligeras precipitaciones,Medellín
2022-02-17,22,9,2.5,5,Ligeras precipitaciones,Medellín
2021-02-17,20,11,7.7,3,Ligeras precipitaciones,Medellín
2020-02-17,21,11,3.8,7,Lluvia moderada a intervalos,Medellín
2019-02-17,20,12,30.6,4,Lluvias torrenciales,Medellín
2024-02-18,25,11,4.7,6,Lluvia moderada a intervalos,Medellín
2023-02-18,29,8,0.7,6,Lluvia moderada a intervalos,Medellín
2022-02-18,19,10,4.3,4,Ligeras precipitaciones,Medellín
2021-02-18,19,11,31.5,1,Lluvias fuertes o moderadas,Medellín
2020-02-18,28,16,0.0,9,Parcialmente nublado,Medellín
2019-02-18,19,12,35.7,3,Lluvias torrenciales,Medellín
2024-02-19,26,10,3.2,6,Lluvia moderada a intervalos,Medellín
2023-02-19,28,7,0.8,6,Lluvia moderada a intervalos,Medellín
2022-02-19,24,11,4.2,4,Ligeras precipitaciones,Medellín
2021-02-19,18,11,28.2,2,Lluvias fuertes o moderadas,Medellín
2020-02-19,29,16,0.9,6,Lluvia moderada a intervalos,Medellín
2019-02-19,22,13,32.2,3,Lluvias torrenciales,Medellín
2024-02-20,27,9,4.4,6,Lluvia moderada a intervalos,Medellín
2023-02-20,20,9,5.9,5,Lluvias fuertes o moderadas,Medellín
2022-02-20,17,9,3.4,2,Ligeras precipitaciones,Medellín
2021-02-20,19,9,19.2,3,Lluvias fuertes o moderadas,Medellín
2020-02-20,24,11,9.6,4,Periodos de lluvia moderada,Medellín
2019-02-20,21,12,48.6,4,Lluvias torrenciales,Medellín
2024-02-21,27,11,3.8,6,Lluvia moderada a intervalos,Medellín
2023-02-21,20,7,4.8,5,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2022-02-21,21,9,2.0,4,Niebla moderada,Medellín
2021-02-21,21,10,30.5,4,Lluvias fuertes o moderadas,Medellín
2020-02-21,22,11,22.2,3,Lluvias fuertes o moderadas,Medellín
2019-02-21,21,12,35.3,5,Lluvias torrenciales,Medellín
2024-02-22,21,10,4.6,5,Ligeras precipitaciones,Medellín
2023-02-22,26,9,1.7,5,Lluvia moderada a intervalos,Medellín
2022-02-22,20,10,1.3,5,Lluvia moderada a intervalos,Medellín
2021-02-22,22,15,23.8,4,Lluvias fuertes o moderadas,Medellín
2020-02-22,20,12,23.1,2,Lluvias fuertes o moderadas,Medellín
2019-02-22,22,11,21.4,5,Lluvias torrenciales,Medellín
2024-02-23,27,16,1.4,6,Lluvia moderada a intervalos,Medellín
2023-02-23,27,8,1.1,5,Lluvia moderada a intervalos,Medellín
2022-02-23,23,9,4.1,5,Ligeras precipitaciones,Medellín
2021-02-23,21,15,15.1,5,Lluvias fuertes o moderadas,Medellín
2020-02-23,21,12,9.3,4,Lluvia moderada a intervalos,Medellín
2019-02-23,18,13,23.6,3,Lluvias fuertes o moderadas,Medellín
2024-02-24,25,14,5.6,6,Ligeras precipitaciones,Medellín
2023-02-24,24,12,0.9,6,Lluvia moderada a intervalos,Medellín
2022-02-24,22,10,2.8,3,Ligeras precipitaciones,Medellín
2021-02-24,23,13,6.2,6,Lluvia moderada a intervalos,Medellín
2020-02-24,20,12,31.8,3,Lluvias fuertes o moderadas,Medellín
2019-02-24,20,12,32.5,3,Lluvias torrenciales,Medellín
2023-02-25,24,10,1.5,6,Lluvia moderada a intervalos,Medellín
2022-02-25,21,14,9.0,2,Ligeras precipitaciones,Medellín
2021-02-25,22,10,11.2,5,Lluvias fuertes o moderadas,Medellín
2020-02-25,22,12,20.7,4,Lluvias fuertes o moderadas,Medellín
2019-02-25,21,12,17.2,4,Lluvias torrenciales,Medellín
2024-02-26,27,14,3.0,7,Lluvia moderada a intervalos,Medellín
2023-02-26,23,11,2.7,5,Lluvia moderada a intervalos,Medellín
2022-02-26,24,14,3.1,4,Ligeras precipitaciones,Medellín
2021-02-26,20,11,20.4,4,Lluvias fuertes o moderadas,Medellín
2020-02-26,21,12,7.3,4,Ligeras precipitaciones,Medellín
2019-02-26,20,12,17.0,4,Lluvias fuertes o moderadas,Medellín
2024-02-27,25,11,4.8,7,Llovizna a intervalos,Medellín
2023-02-27,27,11,1.5,6,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2022-02-27,17,15,4.4,2,Ligeras precipitaciones,Medellín
2021-02-27,20,11,22.8,4,Lluvias fuertes o moderadas,Medellín
2020-02-27,23,12,8.4,5,Ligeras precipitaciones,Medellín
2019-02-27,18,12,28.3,4,Lluvias fuertes o moderadas,Medellín
2024-02-28,27,10,2.5,7,Niebla moderada,Medellín
2023-02-28,23,10,1.7,6,Lluvia moderada a intervalos,Medellín
2022-02-28,20,10,5.8,2,Ligeras precipitaciones,Medellín
2021-02-28,25,11,9.8,4,Lluvias fuertes o moderadas,Medellín
2020-02-28,23,10,6.8,5,Lluvia moderada a intervalos,Medellín
2019-02-28,20,12,27.8,4,Lluvias torrenciales,Medellín
2024-02-29,25,10,2.5,7,Lluvia moderada a intervalos,Medellín
2020-02-29,21,11,16.3,4,Lluvias fuertes o moderadas,Medellín
2024-03-01,25,10,2.2,7,Lluvia moderada a intervalos,Medellín
2023-03-01,18,10,2.1,4,Ligeras precipitaciones,Medellín
2022-03-01,22,10,8.0,5,Ligeras precipitaciones,Medellín
2021-03-01,22,16,22.1,2,Lluvias fuertes o moderadas,Medellín
2020-03-01,22,13,17.6,5,Lluvias fuertes o moderadas,Medellín
2019-03-01,22,11,12.3,3,Ligeras precipitaciones,Medellín
2024-03-02,27,9,6.0,6,Ligeras precipitaciones,Medellín
2023-03-02,25,10,2.0,6,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2022-03-02,19,10,3.6,3,Ligeras precipitaciones,Medellín
2021-03-02,24,15,10.3,4,Ligeras precipitaciones,Medellín
2020-03-02,23,13,17.6,5,Lluvias fuertes o moderadas,Medellín
2019-03-02,20,12,31.1,2,Lluvias torrenciales,Medellín
2024-03-03,28,13,1.8,7,Lluvia moderada a intervalos,Medellín
2023-03-03,25,10,2.9,4,Lluvia moderada a intervalos,Medellín
2022-03-03,21,10,1.8,5,Ligeras precipitaciones,Medellín
2021-03-03,22,8,28.1,2,Lluvias fuertes o moderadas,Medellín
2020-03-03,23,15,15.4,4,Lluvias fuertes o moderadas,Medellín
2019-03-03,19,12,32.3,3,Lluvias torrenciales,Medellín
2024-03-04,25,12,3.8,7,Ligeras precipitaciones,Medellín
2023-03-04,22,10,5.3,4,Ligeras precipitaciones,Medellín
2022-03-04,21,11,5.3,3,Ligeras precipitaciones,Medellín
2021-03-04,17,10,30.9,2,Lluvia moderada,Medellín
2020-03-04,22,12,8.1,5,Lluvias fuertes o moderadas,Medellín
2019-03-04,21,12,29.3,4,Lluvias torrenciales,Medellín
2024-03-05,25,10,6.3,7,Ligeras precipitaciones,Medellín
2023-03-05,20,9,5.3,4,Ligeras precipitaciones,Medellín
2022-03-05,21,9,4.3,3,Ligeras precipitaciones,Medellín
2021-03-05,20,10,28.6,2,Lluvias fuertes o moderadas,Medellín
2020-03-05,27,12,2.7,5,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2019-03-05,22,13,20.9,5,Lluvias torrenciales,Medellín
2024-03-06,24,10,4.8,6,Ligeras precipitaciones,Medellín
2023-03-06,22,11,7.1,4,Ligeras precipitaciones,Medellín
2022-03-06,20,13,5.4,3,Lluvias fuertes o moderadas,Medellín
2021-03-06,22,12,25.4,4,Lluvias fuertes o moderadas,Medellín
2020-03-06,26,15,9.4,5,Lluvias fuertes o moderadas,Medellín
2019-03-06,21,12,26.7,6,Lluvias torrenciales,Medellín
2024-03-07,26,10,1.2,6,Lluvia moderada a intervalos,Medellín
2023-03-07,21,10,34.0,4,Ligeras precipitaciones,Medellín
2022-03-07,20,14,2.9,5,Ligeras precipitaciones,Medellín
2021-03-07,23,16,10.1,4,Lluvias fuertes o moderadas,Medellín
2020-03-07,22,13,20.0,5,Lluvias fuertes o moderadas,Medellín
2019-03-07,20,13,52.2,4,Lluvias torrenciales,Medellín
2024-03-08,26,11,4.8,7,Lluvia moderada a intervalos,Medellín
