Date (yyyy-mm-dd),Max_temperature (Â°C),Min_temperature (Â°C),Rain (mm),Wind (km/h),Description,City
2024-04-12,26,11,2.6,9,lluvia moderada a intervalos,medellã­n
2022-04-12,23,13,2.6,3,niebla moderada,medellã­n
2021-04-12,24,13,7.3,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2024-04-13,27,11,2.2,7,lluvia moderada a intervalos,medellã­n
2022-04-13,22,15,3.2,3,ligeras precipitaciones,medellã­n
2021-04-13,25,12,5.7,4,llovizna,medellã­n
2022-04-14,22,11,3.7,3,ligeras precipitaciones,medellã­n
2024-04-15,25,10,5.8,5,lluvia moderada a intervalos,medellã­n
2022-04-15,24,10,7.5,3,ligeras precipitaciones,medellã­n
2022-04-16,21,9,2.7,4,ligeras precipitaciones,medellã­n
2020-04-16,25,13,4.9,3,lluvia moderada a intervalos,medellã­n
2022-04-17,19,10,6.7,5,ligeras precipitaciones,medellã­n
2022-04-18,19,10,2.4,5,ligeras precipitaciones,medellã­n
2022-04-19,20,12,5.8,2,ligeras precipitaciones,medellã­n
2024-04-20,27,9,4.7,5,lluvia moderada a intervalos,medellã­n
2022-04-20,23,14,3.4,5,llovizna,medellã­n
2022-04-21,20,10,4.7,3,ligeras precipitaciones,medellã­n
2022-04-22,20,9,3.2,4,ligeras precipitaciones,medellã­n
2023-04-23,24,8,0.8,6,lluvia moderada a intervalos,medellã­n
2022-04-23,21,10,3.6,3,ligeras precipitaciones,medellã­n
2022-04-24,21,10,3.4,4,ligeras precipitaciones,medellã­n
2021-04-25,24,14,3.0,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2022-04-26,19,11,6.6,4,ligeras precipitaciones,medellã­n
2021-04-26,26,12,8.0,4,ligeras precipitaciones,medellã­n
2020-04-27,27,13,3.4,5,lluvia moderada a intervalos,medellã­n
2022-04-28,21,13,2.1,2,ligeras precipitaciones,medellã­n
2022-04-29,24,10,4.8,4,ligeras precipitaciones,medellã­n
2019-04-29,24,12,5.0,4,lluvia moderada a intervalos,medellã­n
2019-04-30,25,11,0.0,8,parcialmente nublado,medellã­n
2022-05-12,19,11,3.0,2,ligeras precipitaciones,medellã­n
2021-05-12,25,12,7.8,5,niebla moderada,medellã­n
2024-05-14,27,10,4.0,5,niebla moderada,medellã­n
2022-05-14,22,10,3.6,4,ligeras precipitaciones,medellã­n
2022-05-15,23,10,3.2,5,ligeras precipitaciones,medellã­n
2024-05-16,19,10,5.4,3,ligeras precipitaciones,medellã­n
2022-05-16,23,11,4.9,3,ligeras precipitaciones,medellã­n
2022-05-18,21,11,5.2,4,ligeras precipitaciones,medellã­n
2022-05-19,18,11,3.5,4,ligeras precipitaciones,medellã­n
2022-05-20,19,10,3.2,3,ligeras precipitaciones,medellã­n
2022-05-21,18,9,5.1,4,ligeras precipitaciones,medellã­n
2022-05-22,24,9,5.4,4,niebla moderada,medellã­n
2022-05-23,22,9,7.1,3,ligeras precipitaciones,medellã­n
2022-05-24,23,10,3.6,3,ligeras precipitaciones,medellã­n
2022-05-25,21,13,5.9,4,ligeras precipitaciones,medellã­n
2022-05-26,21,10,2.3,4,ligeras precipitaciones,medellã­n
2022-05-27,22,10,3.2,5,ligeras precipitaciones,medellã­n
2022-05-28,22,9,2.1,4,ligeras precipitaciones,medellã­n
2022-05-29,23,10,3.1,5,ligeras precipitaciones,medellã­n
2022-05-30,21,10,4.0,4,ligeras precipitaciones,medellã­n
2022-05-31,22,9,2.8,2,ligeras precipitaciones,medellã­n
2022-06-11,23,10,7.6,4,ligeras precipitaciones,medellã­n
2022-06-12,22,10,5.1,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2023-06-13,23,10,7.9,6,ligeras lluvias,medellã­n
2022-06-13,20,9,2.5,4,ligeras precipitaciones,medellã­n
2023-06-14,25,10,7.9,6,lluvia moderada a intervalos,medellã­n
2022-06-14,21,10,5.4,3,ligeras precipitaciones,medellã­n
2023-06-15,25,10,3.6,6,lluvia moderada a intervalos,medellã­n
2022-06-15,23,8,3.5,4,ligeras precipitaciones,medellã­n
2024-06-16,19,11,5.3,4,ligeras precipitaciones,medellã­n
2022-06-16,22,9,2.9,4,niebla moderada,medellã­n
2024-06-17,26,9,4.7,5,lluvia moderada a intervalos,medellã­n
2022-06-17,20,9,3.1,2,ligeras precipitaciones,medellã­n
2021-06-17,24,12,6.1,5,niebla moderada,medellã­n
2019-06-17,27,10,1.4,9,lluvia moderada a intervalos,medellã­n
2024-06-18,20,10,5.5,4,ligeras precipitaciones,medellã­n
2022-06-18,21,9,6.2,3,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2021-06-18,25,14,2.9,5,niebla moderada,medellã­n
2019-06-18,28,10,2.1,7,lluvia moderada a intervalos,medellã­n
2021-06-19,25,13,5.7,5,lluvia moderada a intervalos,medellã­n
2019-06-19,27,10,3.2,8,lluvia moderada a intervalos,medellã­n
2022-06-20,17,10,4.5,3,ligeras precipitaciones,medellã­n
2019-06-20,27,14,0.9,10,lluvia moderada a intervalos,medellã­n
2022-06-21,22,9,7.8,4,ligeras precipitaciones,medellã­n
2021-06-21,25,14,6.8,4,periodos de lluvia moderada,medellã­n
2019-06-21,27,13,3.2,10,ligeras precipitaciones,medellã­n
2022-06-22,23,10,1.4,5,niebla moderada,medellã­n
2019-06-22,27,9,3.8,7,ligeras precipitaciones,medellã­n
2022-06-23,22,9,4.0,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2019-06-23,27,10,4.6,7,ligeras precipitaciones,medellã­n
2022-06-24,21,10,3.1,5,ligeras precipitaciones,medellã­n
2022-06-25,22,10,6.9,4,ligeras precipitaciones,medellã­n
2020-06-25,26,10,6.9,5,lluvia moderada a intervalos,medellã­n
2022-06-26,20,9,6.0,4,ligeras precipitaciones,medellã­n
2019-06-26,27,10,3.3,7,lluvia moderada a intervalos,medellã­n
2022-06-27,21,9,4.9,4,ligeras precipitaciones,medellã­n
